ID updated,Paper_id_ new,,paper_id,coder,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,sample_size,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice
1,1,,1,bert,"H1. Individuals are more aware of their own and their partners’ levels of participation when using Reflect. By validating this hypothesis, we would be able to conclude that the information displayed on the table is seen and assimilated into the user’s mental model of the conversation taking place.
H2. Groups that are shown their levels of partici- pation on Reflect are more balanced than those that are not. By validating this hypothesis, we would conclude that the information displayed on the table is used by the participants as a tool to reduce over or underparticipation.",Design,evaluate the effect Reflect has on collaborative work,"In this task, each subject was given a copy of investigation logs that included maps, interviews, and a snippet of a news article. They were asked to accuse one of three suspects of having committed the murder. Each individual version of the investigation logs contained certain important pieces of information that were not available in others. This ensured that all subjects were required to participate in the discussion in order to gather all the necessary informa- tion. This type of task, referred to as a hidden profile task, is often used in experiments involving group decision-making and information pooling","1) the students were shown their levels of participation, i.e., how much time each student talked (speaker- based condition)
2) they were shown the focus of the discussion, i.e., how much time was spent discussing the case of each of the three suspects in the murder mystery (topic-based condition)","Reflect leads to more balanced collaboration, but only under certain conditions",G=18; I=72,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,University; age unknown; male 44 female 28,NS,"We are thus currently exploring the use of pitch and other prosodic features of the voice in order to attribute to each speaker not only a participation level, but also a manner of participation and possibly even a role. By knowing which members of the group are engaging in interactions that foster learning (rather than which group members are simply speaking) the table might be able to provide more meaningful feedback to the group. "
2,2,,3,bert,"Question 1: task level and task unit level: How does the level of understanding relate to the prevalence of different gaze episodes?
Question 2: task unit level: How do the types of gaze episodes relate to the types of dialogue episodes?
Question 3: task unit level and operation level: How do different dialogue episodes relate to the different gaze transitions?",Model-building,use technology to measure the dynamics of interaction,pair programming comprehension task,NS,We identify four layers of interaction episodes at different time scales. Each layer spans across the whole interaction. The present study concerns the relationship between different layers at different time scales. The first and third layers are based on the utterances of the participants while the second and fourth layers are based on participants' gaze.,G=16; I=32,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,University; aged from 18 to 29 years old,we showed that there is a relationship between gaze and dialogue indicators at different time scales. These relations help us understand the cognition that underlies program comprehension as well as the collaboration that underlies pair programming. The results are interesting enough to pursue further research in the same direction to find the causality between processes at different time scales.,NS
3,3,,4,edwin,"1) How different levels of structural competition were reflected in physiological linkage within dyads
2) and also whether the presence of AI agent had an effect.",Scientific hypothesis testing,"1) To test social presence under different levels of structural competition
2) To test if the presence of AI agent had an effect on social presence","The participants played HEDGEWARS (http://hedgewars.org), an open-source clone of a popular commercial game WORMS by Team 17 (http://worms.team17.com). HEDGEWARS is a turn-based artillery game with a two-dimensional map and ballistic shooting (Figure 1). In a typical multiplayer setting, each player controls a team of several hedgehogs. Teams may also be controlled by AI players, and it is possible to group any teams together so that they are playing on the same side (e.g., two human players against one AI player).",1) full cooperation; 2) competitive cooperation; 3) competition; 4) competition without AI allies,"1) A strong physiological linkage was found within dyads in all condistions, but the linkage scores did not differentiate between conflict modes.
2) The only signifcant difference in linkage between conditions was an increase when the AI agents were not present.",G=50; I=100,NS,lab,Model/metric; Theory,Modelling Collaborative Problem-solving Competence with Transparent Learning Analytics: Is Video Data Enough?,University; age 22.9; age 18-32; male 58 female 42,"On a more general level, the association of empathy and social presence related self-reports and physiological linkage in the results give support to the theory of embodied cognition, mimicry, and emotional contagion. These results contribute not only to games research in the form of basic understanding on the effects of different game modes and presence of AI agents, but also the development of physiological linkage as measure for social interaction and presence.","These results contribute not only to games research in the form of basic understanding on the effects of different game modes and presence of AI agents, but also the development of physiological linkage as measure for social interaction and presence."
4,4,,5,iulian,Can multimodal sensors be used to analyze group meetings unobtrusively?,Model-building,"To propose a novel method for head pose and VFOA estimation in group meetings using ceiling-mounted, downward-facing Kinects.",Lunar survival task,NS,Predict group leaders and major contributors with 90% and 100& accuracy respectively using automatically extracted metrics,G=10; I=36,NS,lab,Algorithm; Model/Metric,We need [better] way of measuring / detecting / predicting something,age 18-29,"..an active automated meeting facilitator could aid in group decision making in real time. It could mediate the meeting by subtly reminding participants to talk more or less based on the real-time estimated speaking balance in the room. The room could additionally detect productivity shifts due to inattentiveness or lack of coordination and instigate a new line of thought. Further- more, it could keep the meeting on track by correlating the agenda and the discussion schedule in real time.","With regard to the ToF sensing modality, we want to modify our VFOA estimation algorithm to include supervised learning techniques with more contextual cues, which should improve the accuracy. We also want to implement more sophisticated supervised learning techniques for predicting leadership scores and styles of leadership by combining other metrics involving coarse body pose extracted from the lower-resolution ToF sensors, and body and head activities, as discussed in [9]."
5,5,,6,bert,"(1) How do individuals in a group engage in monitoring their learning process during a collaborative exam situation?
(2) How does individual students’ monitoring frequency relate to physiological arousal?
(3) How does monitoring occur in situations when there is and is not physiological synchrony between the students?""",Model-building,The aim of this study is to understand how metacognitive monitoring occurs during a collaborative exam situation by examining how individual student contributions to monitoring processes are related to physiological arousal and physiological synchrony in groups,The data consist of video recordings from collaborative exam sessions lasting 90 minutes and physiological data captured from each student with Empatica 4.0 sensors,NS,"""Separate multiple regression analyses revealed that the task completion time was predicted by coherence measures for EDA and heart, but only at a trend level for breathing.
Task completion time was also predicted by heart cross correlation.
Team tracking error was predicted by coherence measures for EDA, heart and breathing, and also heart cross correlation.
While socialvisual contact did not have an impact, physiological compliance was predictive of improved performance, with coherence robust over all three physiological measures.
Heart cross correlation showed the strongest predictive relationships.""",G=4; I=12,NS,ecological setting,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,High school; age 19-20; male 23 female 8,We fully expect that measures of social physiological compliance may someday provide the field of human factors with an objective means to study complex sociotechnical systems.,NS
6,6,,10,steph,"RQ1: How to characterize and extract typical speaking and looking patterns
RQ2: To understand how group behavior patterns relate to how group members perform and perceive themselves and other members of their group.",Model-building,This paper addresses the task of mining typical behavioral patterns from small group face-to-face interactions and linking them to social-psychological group variables. ,Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,"Our results show that both group behavior cues and topics have significant correlations with (and predictive information for) group variables such as group composition, group interpersonal perception, and group performance.","G=18, I=72",NS,lab,Model/metric ,We need a [better] way of measuring / detecting / predicting something,University; age 25.4,"The mining framework is powerful as it potentially allows to work with large datasets, make statistical inferences, and validate the results on datasets for which ground-truth is available.",NS
7,7,,11,edwin,"How different categories of laughter can be differentiated from audiovisual features, and to which extent they might convey different emotions (arousal and valence)",Model-building,To investigate automatic recognition of emotional laughter from spontaneous multimodal data,Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,"Results show that voiced laughter performed best in the automatic recognition of arousal and valence for both audio and visual features. The context of production is further analysed and results show that, acted and spontaneous expressions of laughter produced by a same person can be differentiated from audiovisual signals, and multilingual induced expressions can be differentiated from those produced during interactions.",G=53; I=106,NS,lab,Algorithm; Dataset,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,NS,Future work will investigate how variabilities in the language and culture might impact performance on the automatic recognition of laughter.,NS
8,8,,12,bert,can linguistic features and speech features predict how well a group will perform on a well-defined task?,Model-building,"automatically predicting group performance on a task, using multimodal features derived from the group conversation","Winter Survival Task, role-playing a fictional scenario (designing and marketing a remote control device)",NS,"the best-performing models utilize both linguistic and acoustic features, and that linguistic features alone can also yield good performance on this task",G=28; I=?,NS,lab,Algorithm,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,NS,Being able to predict task performance based on the group interaction could be very valuable for providing feedback to collaborative teams in an online fashion.,NS
9,9,,14,callie,"RQ1. How does the priming affect learning? We want to see if there is a priming effect on the learning gain of the participants .
RQ2. How are the individual gaze patterns during the video related to the collaborative gaze patterns during the collaborative concept map phase?
RQ3.How are the individual and collaborative gaze patterns related to learning gain?",Observe learning; Metric-construct connection,"In this article we present an empirical study that sheds some light on the gaze features of the MOOC learners and the effect of priming the students in two different ways. As we will see, the priming method impacts the learning gain of the students; and the gaze features we propose are efficient enough to highlight the differences between the good MOOC learners from the poor ones.","Collaborative concept map, based on video lecture",1) textual priming 2) schema priming,What comes out of the present study is two different interaction styles that differentiate the good students from the poor students. The good students engage with the teacher/collaborating partner through the interface/display. While the poor students engage with the material only.,G=49; I=98,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,University,The concepts of “looking through” and “looking at” could be seen as new interaction style categories.,NS
10,10,,15,edwin,"RQ1. Do the gaze behaviors of collaborating dyads during reference action sequences reflect a particular progression of gaze coordination?
RQ2. How does gaze coordination change in the different phases of a reference-action sequence?
RQ3. Do gaze behavior patterns differ in reference-action sequences that include breakdowns or repairs?",Model-building,"The goals of this study were (a) to explore patterns and progressions in the gaze coordination exhibited by dyads engaged in a simple instructional task, and (b) to develop and test a method for constructing detailed and nuanced models of gaze coordination.","Each dyad was assigned a sandwich-building task: one participant made verbal references to visible ingredients they would like added to their sandwich, while the other participant assembled those ingredients into a sandwich.",NS,Our analyses indicate: (a) properties and patterns of how gaze coordination unfolds throughout an interaction sequence; and (b) differences in gaze coordination patterns for interaction sequences that lead to breakdowns and repairs.,G=13; I=26,NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,University; age 22.9; age 18-32; male 58 female 42,"Such research could improve understanding of learning in collaborative interactions involving reference- action sequences, such as one-on-one tutoring or cooperative problem solving among students, and it could enable us to design learning technologies that more effectively promote and achieve coordination with human users.",NS
