ID updated,paper_id_new,paper_id,coder,title,citations,year,authors,cross-reference,,,,,
1,1,1,,An Interactive Table for Supporting Participation Balance in Face-to-Face Collaborative Learning,158,2010,"Khaled Bachour, Frederic Kaplan, Pierre Dillenbourg",,,,,,
2,2,3,,Understanding collaborative program comprehension: Interlacing gaze and dialogues,55,2013,"Kshitij Sharma, Patrick Jermann, Marc-Antoine Nüssli, Pierre Dillenbourg",,,,,,
3,3,4,,Physiological Linkage of Dyadic Gaming Experience,98,2014,"Simo Järvelä, J. Matias Kivikangas, Jari Kätsyri, Niklas Ravaja",,,,,,
4,4,5,,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,25,2018,,,,,,,
5,5,6,,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam",38,2019,"Jonna Malmberm, Eetu Haataja, Tapio Seppänen, Sanna Järvelä",,,,,,
6,6,10,,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance",58,2012,"Dineshbabu Jayagopi, Dairazalia Sanchez-Cortes, Kazuhiro Otsuka Junji Yamato
,Daniel Gatica-Perez",,,,,,
7,7,11,,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,14,2018,"Reshmashree B. Kantharaju, Fabien Ringeval",,,,,,
8,8,12,,Predicting Group Performance in Task-Based Interaction,51,2018,"Gabriel Murray, Catharine Oertel, Laurent Besacier",,,,,,
9,9,14,,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,43,2015,"Sharma, K., Caballero, D., Verma, H., Jermann, P., & Dillenbourg, P.",,,,,,
10,10,15,,A Network Analytic Approach to Gaze Coordination during a Collaborative Task,29,2018,"Andrist, S., Ruis, A.R., Shaffer, D.W.",,,,,,
11,11,17,,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",92,2014,"Grafsgaard, Wiggins, Vail, Boyer",,,,,,
12,12,18,,(Dis)Engagement Maters: Identifying Efficacious Learning Practices with Multimodal Learning Analytics,33,2018,Marcelo Worsley,,,,,,
13,13,19,,Dual Gaze as a Proxy for Collaboration in Informal Learning,2,2017,"Kshitij Sharma, Patrick Jermann, Marc-Antoine Nüssli, Pierre Dillenbourg",,,,,,
14,14,20,,Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups,5,2013,"Bertrand Schneider, Roy Pea",,,,,,
15,15,21,,Analysing frequent sequential patterns of collaborative learning activity around an interactive tabletop,106,2011,"Martinez, R., Yacef, K., Kay, J., Al-Qaraghuli, A., & Kharrufa, A.",,,,,,
16,16,22,,The Effect of Mutual Gaze Perception on Students’ Verbal Coordination,15,2014,"Bertrand Schneider, Roy Pea",,,,,,
