id,paper_id_new,year,paper_title,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,metric_IG_specific,data_per_metric,outcome_new,outcome_instrument,outcome_smaller_category_new,outcome_larger_category_new,analysis_and_results mm-oo:analysis:resultsig,outcome -significance,test_type_standard,test_grouped,outcome_larger_category_corrected,metric_larger_category_corrected
1,1,2010,An Interactive Table for Supporting Participation Balance in Face-to-Face Collaborative Learning,III) Audio,III) Microphone,III) NS,1) Speech Time,1) Verbal,1) Speech Features,1) Speech Features,1) Individual,1) pure_indiv,1) III,a) verbal participation,a) survey,a) communication,a) process,1-A: t-test: sig: (t[38] = 2.18),a) 1,t-test,between-group,a) process,1) Verbal
2,2,2013,Understanding collaborative program comprehension: Interlacing gaze and dialogues,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii 1750
III) NS","1) Focus Of Attention
2) Together Gaze
3) Dialogue Episode
4) Gaze Transitions","1) Gaze
2) Gaze
3) Verbal
4) Gaze","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) Individual
 2) Group
 3) Individual
 4) Group","1) pure_indiv
2) synchro
3) content_indiv
4) indiv_freq_in_group","1) I
2) I
3) III
4) I","a) level of understanding
B) conversational features","a) human evaluation
B) human evaluation","a) learning
B) communication","a) product
B) process","1+2-A: ANOVA: sig
1+2-A+B: mixed linear model: sig
4-B: ANOVA: sig","a) 1
B)1","ANOVA
LME
ANOVA","between-group
correlation_regression
between-group","a) product
B) process","1) Gaze
2) Gaze
3) Verbal
4) Gaze"
3,3,2014,Physiological Linkage of Dyadic Gaming Experience,"VI) EDA
VII) ECG","VI) Varioport 16-Bit Digital Skin Conductance Amplifier
VII) Modified Lead II Configuration","VI) Varioport-B Portable Recorder System
VII) NS",1) Physiological Linkage,1) Physiological,1) EDA,1) EDA,1) Individual,1) pure_indiv,"1) VI, VII","a) Involvement
B) emotion
c) emotion
D) level of understanding","a) survey
B) survey
c) survey
D) survey","a) engagement
B) affective
c) affective
D) learning","a) process
B) process
c) process
D) product","1-A: regression: sig
1-B: regression: sig
1-C: regression: sig
1-D: regression: sig","a) 1
B) 1
c) 1
D) 1","regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) process
D) product",1) Physiological
4,4,2018,A Multimodal-Sensor-Enabled Room for Unobtrusive Group Meeting Analysis,"II) Video
III) Audio
XII) Other","II) Kinect
III) Microphone
XII) Irma Matrix Tof Sensors","II) Microsoft Kinect
III) NS
XII) Infrared Intelligent Systems","1) Non-Verbal Speaking Metrics
2) Visual Attention
3) Verbal Dominance And Information Metrics","1) Verbal
2) Gaze
3) Verbal","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) Individual
 2) Individual
 3) Group","1) pure_indiv
2) pure_indiv
3) indiv_freq_in_group","1) XII
2) II
3) III","a) leadership
B) perceived contribution","a) survey
B) survey","a) interpersonal relationship
B) interpersonal relationship ","a) process
B) process","3-A: correlation: sig
3-B: correlation: sig
1-A: correlation: nonsig
1-B: correlation: nonsig
2-A: correlation: nonsig
2-B: correlation: sig
1*2*3-A: regression: nonsig
1*2*3-B: regression: nonsig","a) 1/0
B) 1/0","correlation
correlation
correlation
correlation
correlation
correlation
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process","1) Verbal
2) Gaze
3) Verbal"
5,5,2019,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam","VI) EDA
II) Video","VI) EDA Sensor
II) Camera","VI) Empatica
II) NS","1) EDA Peak Detection
2) Physiological Concordance Index","1) Physiological
2) Physiological","1) EDA
2) Combined","1) EDA
2) Combined","1) Individual
 2) Group","1) pure_indiv
2) pure_indiv","1) VI
2) II",a) emotion ,a) human evaluation,a) affective,a) process,"1,2-A: correlation: sig: (r=0.663)",a) 1,correlation,correlation_regression,a) process,"1) Physiological
2) Physiological"
6,6,2012,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance","III) Audio
II) Video","III) Microphone
II) Camera","III) NS
II) Logitech Webcam Pro 9000","1) Group Participation Speaking Cues
2) Silence And Overlap Cues
3) Speaking Distribution Cues
4) Visual Attention
5) Group Looking Cues","1) Verbal
2) Verbal
3) Verbal
4) Gaze
5) Gaze","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention ","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention","1) Individual
 2) Group
 3) Group
 4) Individual
 5) Group","1) synchro
2) synchro
3) indiv_freq_in_group
4) pure_indiv
5) synchro","1) III
2) III
3) III
4) IV
5) IV","a) group composition
B) social perception
c) group performance","a) survey
B) survey
c) human evaluation","a) group composition
B) interpersonal relationship
c) performance","a) condition
B) process
c) product","1-A: correlation: sig
2-A: correlation: sig
3-A: correlation: sig
4-A: correlation: sig
5-A: correlation: sig
1-B: correlation: sig
2-B: correlation: sig
3-B: correlation: sig
4-B: correlation: sig
5-B: correlation: sig
1-C: correlation: sig
2-C: correlation: sig
3-C: correlation: sig
4-C: correlation: sig
5-C: correlation: sig
1+2-A: regression: sig
2+3-B: regression: sig
2-C: regression: sig","a) 1
B) 1
c) 1","correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) condition
B) process
c) product","1) Verbal
2) Verbal
3) Verbal
4) Gaze
5) Gaze"
7,7,2018,Automatic Recognition of Affective Laughter in Spontaneous Dyadic Interactions from Audiovisual Signals,"III) Audio
II) Video","III) NS
II) NS","III) NS
II) NS","1) Gemaps Acoustic Features
2) Extended Gemaps Acoustic Features
3) MFCCS
4) Facial Action Units","1) Verbal
2) Verbal
3) Verbal
4) Head","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) III
2) III
3) III
4) II","a) laughter
B) laughter
c) laughter","a) computation
B) computation
c) human evaluation","a) interpersonal relationship
B) interpersonal relationship
c) interpersonal relationship","a) process
B) process
c) process","1+2+3+4-A: sup. machine learning: nonsig
1+3+3+4-B: sup. machine learning: nonsig
1+2+3+4-C: sup. machine learning: nonsig","a) 0
B) 0
c) 0","machine learning
machine learning
machine learning","machine-learning
machine-learning
machine-learning","a) process
B) process
c) process","1) Verbal
2) Verbal
3) Verbal
4) Head"
8,8,2018,Predicting Group Performance in Task-Based Interaction,III) Audio,III) Microphone,III) NS,"1) Speech Features
2) Linguistic Features","1) Verbal
2) Verbal","1) Speech Features
2) Speech Content","1) Speech Features
2) Speech Content","1) Individual
 2) Individual","1) pure_indiv
2) content_indiv","1) III
2) III",a) group performance,a) human evaluation,a) performance,a) product,1+2-A: sup. machine learning: (64.4%),a）1,machine learning,machine-learning,a) product,"1) Verbal
2) Verbal"
9,9,2015,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,I) Eye Gaze,I) Eye Tracker,I) NS,"1) Perceptual With-Me-Ness (Gaze)
2) Conceptual With-Me-Ness (Gaze)
3) Gaze Similarity ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Individual
 2) Individual
 3) Group","1) pure_indiv
2) pure_indiv
3) synchro","1) I
2) I
3) I",a) learning gain,a) survey,a) learning,a) product,"1-A: correlation: sig: (r = 0.51)
2-A: correlation: sig: (r = 0.41)
3-A: correlation: sig: (r = 0.39)",a)1,"correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression",a) product,"1) Gaze
2) Gaze
3) Gaze"
10,10,2018,A Network Analytic Approach to Gaze Coordination during a Collaborative Task,I) Eye Gaze,I) Eye Tracker (Glasses),I) SMI,"1) Gaze Fixations
2) Gaze Saccades","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Motion","1) Visual Attention
2) Eye Motion","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) I
2) I",a) task performance,a) human evaluation,a) performance,a) product,1+2-A: correlation: nonsig,a) 0,correlation,correlation_regression,a) product,"1) Gaze
2) Gaze"
