year,citation,sensors,data,lg_metric,sm_metric,org_metric,org_outcome,sm_outcome,lg_outcome,instrument,settings,analysis
1999,Modelling Symmetry of Activity as an Indicator of Collocated Group Collaboration,camera,kinesiology,head,head motion,head rotation,focus of attention,coordination,process,researcher coded,ecological,unsup. machine learning
1999,Mediated attention with multimodal augmented reality,camera:motion detecting sensor,eye gaze:kinesiology,gaze:head,visual attention:head motion,eye gaze directions:head movements,focus of attention,coordination,process,researcher coded,ecological,sup. machine learning:sup. machine learning
2000,"RemoteCoDe: Robotic Embodiment for Enhancing Peripheral
Awareness in Remote Collaboration Tasks",camera:microphone,video:audio,body:verbal,gross body motion:speech participation,gesture:communication quality,task performance,performance,product,researcher coded,ecological,ANOVA:ANOVA
2001,"Estimating conversational dominance in multiparty interaction
","wearable sensor, wristband:ecg:other",eda:ecg:other,physiological,combined,physiological compliance,task performance:task performance:coordination,performance:performance:coordination,product:product:process,log data:researcher coded:researcher coded,lab,regression:regression:regression
2001,Coordinating cognition: The costs and benefits of shared gaze during collaborative search,eye tracker:microphone,eye gaze:audio,gaze:verbal,visual attention:speech features,fixation:speech utterance,conversational attention,attention,process,researcher coded,ecological,t-test:t-test
2001,Putting the Pieces Together: Multimodal Analysis of Social Attention in Meetings,camera:microphone,eye gaze:audio,gaze:verbal,visual attention:speech features,gaze focus:sound focus,focus of attention,group dynamics,process,researcher coded,lab,sup. machine learning:sup. machine learning
2002,Implicit user-adaptive system engagement in speech and pen interfaces,camera:microphone:motion detecting sensor,eye gaze:audio:kinesiology,gaze:head:verbal,visual attention:head motion:speech features,eye gaze directions:head movements:speech features,focus of attention,coordination,process,researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning
2002,Coordinating spatial referencing using shared gaze,camera,eye gaze:audio,gaze,visual attention,gaze awareness,task performance:collaboration quality,performance:collaboration,product:process,log data:log data,lab,ANOVA:ANOVA
2003,A Look Is Worth a Thousand Words: Full Gaze Awareness in Video-Mediated Conversation,digital pen,bvp,body,gesture drawing,gesture drawing on video feed,task performance,collaboration,process,log data,lab,ANOVA
2003,EEG in classroom: EMD features to detect situational interest of students during learning,eye tracker,eye gaze,gaze,visual attention,focus of attention,task performance:quality of assistance:communication efficiency,performance:coordination:coordination,product:process:process,log data:questionnaire:,lab,ANOVA:ANOVA:ANOVA
