"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9JHRQB6R","journalArticle","2014","Montague, Enid; Xu, Jie; Chiou, Erin","Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters","IEEE Transactions on Human-Machine Systems","","2168-2291, 2168-2305","10.1109/THMS.2014.2325859","http://ieeexplore.ieee.org/document/6837486/","The aim of this study is to examine the utility of physiological compliance (PC) to understand shared experience in a multiuser technological environment involving active and passive users. Common ground is critical for effective collaboration and important for multiuser technological systems that include passive users since this kind of user typically does not have control over the technology being used. An experiment was conducted with 48 participants who worked in two-person groups in a multitask environment under varied task and technology conditions. Indicators of PC were measured from participants’ cardiovascular and electrodermal activities. The relationship between these PC indicators and collaboration outcomes, such as performance and subjective perception of the system, was explored. Results indicate that PC is related to group performance after controlling for task/technology conditions. PC is also correlated with shared perceptions of trust in technology among group members. PC is a useful tool for monitoring group processes and, thus, can be valuable for the design of collaborative systems. This study has implications for understanding effective collaboration.","2014-10","2020-11-01 17:39:04","2020-11-01 17:39:04","2020-11-01 17:39:04","614-624","","5","44","","IEEE Trans. Human-Mach. Syst.","Shared Experiences of Technology and Trust","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/XZ9T9G6H/Montague et al. - 2014 - Shared Experiences of Technology and Trust An Exp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92GJFNHL","bookSection","2020","Chng, Edwin; Seyam, Mohamed Raouf; Yao, William; Schneider, Bertrand","Using Motion Sensors to Understand Collaborative Interactions in Digital Fabrication Labs","Artificial Intelligence in Education","978-3-030-52236-0 978-3-030-52237-7","","","http://link.springer.com/10.1007/978-3-030-52237-7_10","Open-ended learning environments such as makerspaces present a unique challenge for instructors. While it is expected that students are given free rein to work on their projects, facilitators have to strike a difﬁcult balance between micromanaging them and letting the community support itself. In this paper, we explore how Kinect sensors can continuously monitor students’ collaborative interactions so that instructors can gain a more comprehensive view of the social dynamics of the space. We employ heatmaps to examine the diversity of student collaborative interactions and Markov transition probabilities to explore the transitions between instances of collaborative interactions. Findings indicate that letting students work on their own promotes the development of technical skills, while working together encourages students to spend more time in the makerspace. This conﬁrms the intuition that successful projects in makerspaces necessitate both individual and group efforts. Furthermore, such aggregation and display of information can aid instructors in uncovering the state of student learning in makerspaces. Identifying the instances and diversity of collaborative interactions affords instructors an early opportunity to identify struggling students and having these data in a near real-time manner opens new doors in terms of making (un)productive behaviors salient, both for teachers and students. We discuss how this work represents a ﬁrst step toward using intelligent systems to support student learning in makerspaces.","2020","2020-11-01 17:36:36","2020-11-01 17:36:36","2020-11-01 17:36:36","118-128","","","12163","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-030-52237-7_10","","/Users/htk/Zotero/storage/7DC8MJ4V/Chng et al. - 2020 - Using Motion Sensors to Understand Collaborative I.pdf","","","","Bittencourt, Ig Ibert; Cukurova, Mutlu; Muldner, Kasia; Luckin, Rose; Millán, Eva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTD8FH2K","bookSection","2011","Martinez, Roberto; Wallace, James R.; Kay, Judy; Yacef, Kalina","Modelling and Identifying Collaborative Situations in a Collocated Multi-display Groupware Setting","Artificial Intelligence in Education","978-3-642-21868-2 978-3-642-21869-9","","","http://link.springer.com/10.1007/978-3-642-21869-9_27","Detecting the presence or absence of collaboration during group work is important for providing help and feedback during sessions. We propose an approach which automatically distinguishes between the times when a co-located group of learners, using a problem solving computer-based environment, is engaged in collaborative, non-collaborative or somewhat collaborative behaviour. We exploit the available data, audio and application log traces, to automatically infer useful aspects of the group collaboration and propose a set of features to code them. We then use a set of classifiers and evaluate whether their results accurately match the observations made on videorecordings. Results show up to 69.4% accuracy (depending on the classifier) and that the error rate for extreme misclassification (e.g. when a collaborative episode is classified as non-collaborative, or vice-versa) is less than 7.6%. We argue that this technique can be used to show the teacher and the learners an overview of the extent of their collaboration so they can become aware of it.","2011","2020-11-01 17:36:12","2020-11-01 17:36:12","2020-11-01 17:36:12","196-204","","","6738","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-642-21869-9_27","","/Users/htk/Zotero/storage/C6BTV9UX/Martinez et al. - 2011 - Modelling and Identifying Collaborative Situations.pdf","","","","Biswas, Gautam; Bull, Susan; Kay, Judy; Mitrovic, Antonija","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A49T63VT","bookSection","2013","Martinez-Maldonado, Roberto; Kay, Judy; Yacef, Kalina","An Automatic Approach for Mining Patterns of Collaboration around an Interactive Tabletop","Artificial Intelligence in Education","978-3-642-39111-8 978-3-642-39112-5","","","http://link.springer.com/10.1007/978-3-642-39112-5_11","Learning to collaborate is important. But how does one learn to collaborate face-to-face? What are the actions and strategies to follow for a group of students who start a task? We analyse aspects of students' collaboration when working around a multi-touch tabletop enriched with sensors for identifying users, their actions and their verbal interactions. We provide a technological infrastructure to help understand how highly collaborative groups work compared to less collaborative ones. The contributions of this paper are (1) an automatic approach to distinguish, discover and distil salient common patterns of interaction within groups, by mining the logs of students’ tabletop touches and detected speech; and (2) the instantiation of this approach in a particular study. We use three data mining techniques: a classification model, sequence mining, and hierarchical clustering. We validated our approach in a study of 20 triads building solutions to a posed question at an interactive tabletop. We demonstrate that our approach can be used to discover patterns that may be associated with strategies that differentiate high and low collaboration groups.","2013","2020-11-01 17:36:10","2020-11-01 17:36:10","2020-11-01 17:36:10","101-110","","","7926","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-642-39112-5_11","","/Users/htk/Zotero/storage/SCRS6TDX/Martinez-Maldonado et al. - 2013 - An Automatic Approach for Mining Patterns of Colla.pdf","","","","Lane, H. Chad; Yacef, Kalina; Mostow, Jack; Pavlik, Philip","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVM8J4JU","conferencePaper","2016","Beyan, Cigdem; Carissimi, Nicolò; Capozzi, Francesca; Vascon, Sebastiano; Bustreo, Matteo; Pierro, Antonio; Becchio, Cristina; Murino, Vittorio","Detecting emergent leader in a meeting environment using nonverbal visual features only","Proceedings of the 18th ACM International Conference on Multimodal Interaction - ICMI 2016","978-1-4503-4556-9","","10.1145/2993148.2993175","http://dl.acm.org/citation.cfm?doid=2993148.2993175","In this paper, we propose an eﬀective method for emergent leader detection in meeting environments which is based on nonverbal visual features. Identifying emergent leader is an important issue for organizations. It is also a wellinvestigated topic in social psychology while a relatively new problem in social signal processing (SSP). The eﬀectiveness of nonverbal features have been shown by many previous SSP studies. In general, the nonverbal video-based features were not more eﬀective compared to audio-based features although, their fusion generally improved the overall performance. However, in absence of audio sensors, the accurate detection of social interactions is still crucial. Motivating from that, we propose novel, automatically extracted, nonverbal features to identify the emergent leadership. The extracted nonverbal features were based on automatically estimated visual focus of attention which is based on head pose. The evaluation of the proposed method and the deﬁned features were realized using a new dataset which is ﬁrstly introduced in this paper including its design, collection and annotation. The eﬀectiveness of the features and the method were also compared with many state of the art features and methods.","2016","2020-11-01 17:34:57","2020-11-01 17:34:58","2020-11-01 17:34:57","317-324","","","","","","","","","","","ACM Press","Tokyo, Japan","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/GW36MCSL/Beyan et al. - 2016 - Detecting emergent leader in a meeting environment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 18th ACM International Conference","","","","","","","","","","","","","","",""
"P4652GKG","conferencePaper","2017","Beyan, Cigdem; Katsageorgiou, Vasiliki-Maria; Murino, Vittorio","Moving as a Leader: Detecting Emergent Leadership in Small Groups using Body Pose","Proceedings of the 2017 ACM on Multimedia Conference - MM '17","978-1-4503-4906-2","","10.1145/3123266.3123404","http://dl.acm.org/citation.cfm?doid=3123266.3123404","Detecting leadership while understanding the underlying behavior is an important research topic particularly for social and organizational psychology, and has started to get attention from social signal processing research community as well. It is known that, visual activity is a useful cue to investigate the social interactions, even though previously applied nonverbal features based on head/body actions were not performing well enough for identiﬁcation of emergent leaders (ELs) in small group meetings. Starting from these premises, in this study, we propose an eﬀective method that uses 2D body pose based nonverbal features to represent the visual activity of a person. Our results suggest that, i) overall, the proposed nonverbal features derived from body pose perform better than existing visual activity based features, ii) it is possible to improve classiﬁcation results by applying unsupervised feature learning as a preprocessing step, and iii) the proposed nonverbal features are able to advance the EL identiﬁcation performances of other types of nonverbal features when they are used together.","2017","2020-11-01 17:32:57","2020-11-01 17:32:57","2020-11-01 17:32:57","1425-1433","","","","","","Moving as a Leader","","","","","ACM Press","Mountain View, California, USA","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/D9J8BT53/Beyan et al. - 2017 - Moving as a Leader Detecting Emergent Leadership .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2017 ACM","","","","","","","","","","","","","","",""
"Q7GTPXNI","journalArticle","2010","Terken, Jacques; Sturm, Janienke","Multimodal support for social dynamics in co-located meetings","Personal and Ubiquitous Computing","","","","","In this paper, we present a system that employsperceptual technologies (i.e. technologies that perceive thecontext through sensors such as cameras and microphone)to  provide  feedback  about  people’s  behaviour  in  smallgroup meetings. The system measures aspects of behaviourthat  are  relevant  to  the  social  dynamics  of  the  meeting,speaking  time  and  gaze  behaviour,  and  provides  visualfeedback   about   these   aspects   to   the   meeting   partici-pants through a peripheral display. We describe the systemproperties and the perceptual components. Also, we presenta study aimed at evaluating the effect of such a system onmeeting  behaviour.  Groups  of  participants,  amounting  to82 participants in all, discussed topics of general interest.Analysis  of  the  data  of  58  participants  showed  that  feed-back influenced the behaviour of the participants in such away  that it made over-participators speak less and under-participators speak more. Analysis of the micro-patterns ofsix participants indicated that feedback on gaze behaviourhad little effect on the interaction dynamics. We concludethat perceptual technologies can be used to build servicesthat  may  help  people  to  improve  their  meeting  skills  andwe  consider  some  ways  in  which  such  systems  may  bedeployed in meetings","2010","2020-11-01 16:57:51","2020-11-01 17:08:17","","703–714","","8","14","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","/Users/htk/Zotero/storage/QYQCCD4L/Terken and Sturm - 2010 - Multimodal support for social dynamics in co-locat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9EBQHBX","conferencePaper","2011","Yamashita, Naomi; Kaji, Katsuhiko; Kuzuoka, Hideaki; Hirata, Keiji","Improving visibility of remote gestures in distributed tabletop collaboration","Proceedings of the ACM 2011 conference on Computer supported cooperative work","","","","","Collaborative distributed tabletop activities involving real objects are complicated by invisibility factors introduced into the workspace. In this paper, we propose a technique called ""remote lag"" to alleviate the problems caused by the invisibility of remote gestures. The technique provides people with instant playback of remote gestures to recover from the missed context of coordination. To examine the effects of the proposed technique, we studied four-person groups who engaged in two mentoring tasks using physical objects with and without remote lags. Our results show that remote lags effectively alleviated the invisibility problems, resulting in fewer questions/confirmations and redundant instructions during collaboration. The technique also decreased the overall workload of workers as well as the temporal demands for both helpers and workers.","2011","2020-08-03 23:03:46","2020-11-01 17:06:48","","95–104","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/UBZ74U86/Yamashita et al. - 2011 - Improving visibility of remote gestures in distrib.pdf; /Users/htk/Zotero/storage/L4H5PS6Y/1958824.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5QAYY2S","conferencePaper","2018","Dich, Yong; Reilly, Joseph; Schneider, Bertrand","Using physiological synchrony as an indicator of collaboration quality, task performance and learning","International Conference on Artificial Intelligence in Education","","","","","Over the last decade, there has been a renewed interest in capturing 21st century skills using new data collection tools. In this paper, we leverage an existing dataset where multimodal sensors (mobile eye- trackers, motion sensors, galvanic skin response wristbands) were used to identify markers of productive collaborations. The data came from 42 pairs (N = 84) of participants who had no coding experience. They were asked to program a robot to solve a variety of mazes. We explored four different measures of physiological synchrony: Signal Matching (SM), Instantaneous Derivative Matching (IDM), Directional Agreement (DA) and Pearson’s Correlation (PC). Overall, we found PC to be positively associated with learning gains and DA with collaboration quality. We compare those results with prior studies and discuss implications for measuring collaborative process through physiological sensors.","2018","2020-11-01 16:56:53","2020-11-01 17:05:45","","98–110","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/NHY7FYJX/978-3-319-93843-1_8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WX6DWT8B","conferencePaper","2020","Vrzakova, Hana; Amon, Mary Jean; Stewart, Angela; Duran, Nicholas D.; D'Mello, Sidney K.","Focused or Stuck Together: Multimodal Patterns Reveal Triads’ Performance in Collaborative Problem Solving","Proceedings of the Tenth International Conference on Learning Analytics & Knowledge","","","","","Collaborative problem solving (CPS) in virtual environments is an increasingly important context of 21st century learning. However, our understanding of this complex and dynamic phenomenon is still limited. Here, we examine unimodal primitives (activity on the screen, speech, and body movements), and their multimodal combinations during remote CPS. We analyze two datasets where 116 triads collaboratively engaged in a challenging visual programming task using video conferencing software. We investigate how UI-interactions, behavioral primitives, and multimodal patterns were associated with teams' subjective and objective performance outcomes. We found that idling with limited speech (i.e., silence or backchannel feedback only) and without movement was negatively correlated with task performance and with participants' subjective perceptions of the collaboration. However, being silent and focused during solution execution was positively correlated with task performance. Results illustrate that in some cases, multimodal patterns improved the predictions and improved explanatory power over the unimodal primitives. We discuss how the findings can inform the design of real-time interventions for remote CPS.","2020","2020-11-01 16:56:24","2020-11-01 17:04:55","","295–304","","","","","","Focused or stuck together","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/4WBTMLD9/3375462.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
